,rates
AED,4.319643
AFN,101.557371
ALL,121.961925
AMD,580.723145
ANG,2.116236
AOA,746.791161
ARS,114.603589
AUD,1.622328
AWG,2.117478
AZN,1.996516
BAM,1.958336
BBD,2.380465
BDT,100.627972
BGN,1.955401
BHD,0.443493
BIF,2339.133582
BMD,1.17605
BND,1.594613
BOB,8.129203
BRL,6.177816
BSD,1.178969
BTC,2.4891161e-05
BTN,87.45892
BWP,13.202346
BYN,2.964243
BYR,23050.579557
BZD,2.376501
CAD,1.490537
CDF,2348.571421
CHF,1.078121
CLF,0.033539
CLP,925.445739
CNY,7.625475
COP,4548.6673
CRC,732.905427
CUC,1.17605
CUP,31.165324
CVE,110.406286
CZK,25.528638
DJF,209.881444
DKK,7.436172
DOP,67.095721
DZD,159.405368
EGP,18.470691
ERN,17.64641
ETB,53.759982
EUR,1.0
FJD,2.474405
FKP,0.849817
GBP,0.85834
GEL,3.669557
GGP,0.849817
GHS,7.121213
GIP,0.849817
GMD,60.190375
GNF,11556.99281
GTQ,9.125478
GYD,246.475412
HKD,9.159324
HNL,28.064436
HRK,7.489554
HTG,116.425008
HUF,348.89288
IDR,16969.225124
ILS,3.795749
IMP,0.849817
INR,87.170647
IQD,1720.171283
IRR,49617.548653
ISK,148.805852
JEP,0.849817
JMD,179.666599
JOD,0.833833
JPY,129.350802
KES,129.12862
KGS,99.6086
KHR,4807.870813
KMF,492.764861
KPW,1058.445178
KRW,1374.955486
KWD,0.354014
KYD,0.982557
KZT,503.434239
LAK,11300.761452
LBP,1782.851175
LKR,235.211297
LRD,202.104511
LSL,17.546631
LTL,3.47257
LVL,0.711381
LYD,5.33865
MAD,10.571428
MDL,20.862142
MGA,4624.490618
MKD,61.693949
MMK,1940.574227
MNT,3352.802225
MOP,9.456101
MRO,419.84964
MUR,49.876254
MVR,18.170065
MWK,957.920258
MXN,23.914268
MYR,4.930024
MZN,74.943798
NAD,17.546415
NGN,485.156076
NIO,41.400275
NOK,10.382346
NPR,139.930498
NZD,1.692565
OMR,0.45289
PAB,1.179009
PEN,4.815262
PGK,4.192658
PHP,58.78247
PKR,196.59219
PLN,4.571989
PYG,8167.874527
QAR,4.282018
RON,4.932326
RSD,117.730659
RUB,87.150598
RWF,1189.134441
SAR,4.411256
SBD,9.476687
SCR,16.642966
SDG,521.582392
SEK,10.227319
SGD,1.590055
SHP,1.619894
SLL,12142.715851
SOS,687.989459
SRD,25.129815
STD,24341.860097
SVC,10.316202
SYP,1478.969841
SZL,17.585806
THB,38.412728
TJS,13.452415
TMT,4.127935
TND,3.280587
TOP,2.661754
TRY,9.879291
TTD,8.016559
TWD,32.852367
TZS,2727.259819
UAH,31.614281
UGX,4167.7334
USD,1.17605
UYU,50.490612
UZS,12561.114311
VEF,251475028152.37006
VND,26802.178985
VUV,130.408567
WST,3.011586
XAF,656.775129
XAG,0.049604
XAU,0.000653
XCD,3.178334
XDR,0.830134
XOF,656.775129
XPF,119.815862
YER,295.011879
ZAR,17.504567
ZMK,10585.862158
ZMW,19.364522
ZWL,378.687613
